== parsed docs/s0-e07-run/t1 ==
family	endpoint	series	value
2	127.0.0.1:19102 (devnet/publisher)	cc_p2p_head_lag_slots_bucket{le="0.0"}	1
2	127.0.0.1:19102 (devnet/publisher)	cc_p2p_head_lag_slots_bucket{le="1.0"}	1
2	127.0.0.1:19102 (devnet/publisher)	cc_p2p_head_lag_slots_bucket{le="2.0"}	1
2	127.0.0.1:19102 (devnet/publisher)	cc_p2p_head_lag_slots_bucket{le="3.0"}	1
2	127.0.0.1:19102 (devnet/publisher)	cc_p2p_head_lag_slots_bucket{le="5.0"}	1
2	127.0.0.1:19102 (devnet/publisher)	cc_p2p_head_lag_slots_bucket{le="8.0"}	1
2	127.0.0.1:19102 (devnet/publisher)	cc_p2p_head_lag_slots_bucket{le="16.0"}	1
2	127.0.0.1:19102 (devnet/publisher)	cc_p2p_head_lag_slots_bucket{le="32.0"}	1
2	127.0.0.1:19102 (devnet/publisher)	cc_p2p_head_lag_slots_bucket{le="64.0"}	1
2	127.0.0.1:19102 (devnet/publisher)	cc_p2p_head_lag_slots_bucket{le="+Inf"}	1
2	127.0.0.1:19112 (devnet/node-a)	cc_p2p_head_lag_slots_bucket{le="0.0"}	1
2	127.0.0.1:19112 (devnet/node-a)	cc_p2p_head_lag_slots_bucket{le="1.0"}	1
2	127.0.0.1:19112 (devnet/node-a)	cc_p2p_head_lag_slots_bucket{le="2.0"}	1
2	127.0.0.1:19112 (devnet/node-a)	cc_p2p_head_lag_slots_bucket{le="3.0"}	1
2	127.0.0.1:19112 (devnet/node-a)	cc_p2p_head_lag_slots_bucket{le="5.0"}	1
2	127.0.0.1:19112 (devnet/node-a)	cc_p2p_head_lag_slots_bucket{le="8.0"}	1
2	127.0.0.1:19112 (devnet/node-a)	cc_p2p_head_lag_slots_bucket{le="16.0"}	1
2	127.0.0.1:19112 (devnet/node-a)	cc_p2p_head_lag_slots_bucket{le="32.0"}	1
2	127.0.0.1:19112 (devnet/node-a)	cc_p2p_head_lag_slots_bucket{le="64.0"}	1
2	127.0.0.1:19112 (devnet/node-a)	cc_p2p_head_lag_slots_bucket{le="+Inf"}	1
2	127.0.0.1:19122 (devnet/node-b)	cc_p2p_head_lag_slots_bucket{le="0.0"}	1
2	127.0.0.1:19122 (devnet/node-b)	cc_p2p_head_lag_slots_bucket{le="1.0"}	1
2	127.0.0.1:19122 (devnet/node-b)	cc_p2p_head_lag_slots_bucket{le="2.0"}	1
2	127.0.0.1:19122 (devnet/node-b)	cc_p2p_head_lag_slots_bucket{le="3.0"}	1
2	127.0.0.1:19122 (devnet/node-b)	cc_p2p_head_lag_slots_bucket{le="5.0"}	1
2	127.0.0.1:19122 (devnet/node-b)	cc_p2p_head_lag_slots_bucket{le="8.0"}	1
2	127.0.0.1:19122 (devnet/node-b)	cc_p2p_head_lag_slots_bucket{le="16.0"}	1
2	127.0.0.1:19122 (devnet/node-b)	cc_p2p_head_lag_slots_bucket{le="32.0"}	1
